2025-04-21,DGX/System/Docker user login details,How many no. of users login using ssh = 15
2025-04-21,Power Consumption of DGX,Current Total Power consumed in watts = 2262
2025-04-21,Current Health Status of DGX = OK
2025-04-21,Current Status of GPUs = OK
2025-04-21,Current Status of GPUs Processing = 0
2025-04-21,System Updates = Yes
2025-04-21,Reboot = Yes
2025-04-21,Current Disk Storage status Used = 276G, Available = 1.4T
2025-04-21,Login Kubeflow Users,No of Users = 7
2025-04-21,Total running pods = 0
2025-04-21,Notebook Created by users, No. of notebook = 36
2025-04-21,Total Containers,3
2025-04-21,Containers Actively Using NVIDIA GPU,0
2025-04-21,Containers Configured To Utilize NVIDIA GPU But Not Actively Using It,2
2025-04-21,Other Containers,1
2025-04-21,total rootless container: 1,total running rootless container: 
2025-04-21,total running rootless container with gpu: ,total exiting rootless container: 1
