2025-04-20,DGX/System/Docker user login details,How many no. of users login using ssh = 15
2025-04-20,Power Consumption of DGX,Current Total Power consumed in watts = 2184
2025-04-20,Current Health Status of DGX = OK
2025-04-20,Current Status of GPUs = OK
2025-04-20,Current Status of GPUs Processing = 0
2025-04-20,System Updates = Yes
2025-04-20,Reboot = No
2025-04-20,Current Disk Storage status Used = 243G, Available = 1.4T
2025-04-20,Login Kubeflow Users,No of Users = 7
2025-04-20,Total running pods = 0
2025-04-20,Notebook Created by users, No. of notebook = 33
2025-04-20,Total Containers,3
2025-04-20,Containers Actively Using NVIDIA GPU,0
2025-04-20,Containers Configured To Utilize NVIDIA GPU But Not Actively Using It,2
2025-04-20,Other Containers,1
2025-04-20,total rootless container: 2,total running rootless container: 1
2025-04-20,total running rootless container with gpu: ,total exiting rootless container: 1
